mu_bus,Result
0.1,7.69230769231
0.15,5.55555555556
0.2,4.34782608696
0.25,3.57142857143
0.3,3.0303030303
0.35,2.63157894737
0.4,2.32558139535
0.45,2.08333333333
0.5,1.88679245283
0.55,1.72413793103
0.6,1.5873015873
