dt_min,slots,P_2plus_arrivals_in_slot,optimal_person_min,always_depart_person_min,worst_person_min,improvement_vs_always_depart_pct
0.25,80,0.09020401043104986,100.57070204624598,111.45786404095114,261.83388843720496,9.767962169726365
0.125,160,0.026499021160743874,113.19884060669679,127.04399995833158,292.0488316893724,10.897924621529379
0.0625,320,0.007190984592330141,120.55671357410105,136.23613091936213,307.9494889424528,11.509000761730151
