seed,resolved_passengers,des_reliability,des_mean_time_to_outcome_min,lambda_hat,theta_hat,mean_ahead_at_arrival,ctmc_reliability_same_run_weighting,ctmc_mean_time_to_outcome_same_run_weighting_min,paired_reliability_gap_ctmc_minus_des,paired_wait_gap_ctmc_minus_des_min
0,79610,0.7500439643260897,6.14115886078538,1.9905947553160002,0.030059460896111022,12.311217183770887,0.7470417988547963,6.2096528334665235,-0.0030021654712933943,0.06849397268114377
1,80098,0.7527528777247872,6.161832730651105,2.00265015106529,0.029867259085538066,12.349646682813553,0.7473766328925044,6.236088021108424,-0.005376244832282717,0.0742552904573186
2,79930,0.738458651319905,6.305332624901811,1.9984779559293426,0.03015961360152795,12.615951457525334,0.7424421603727126,6.279609097843109,0.003983509052807643,-0.025723527058701734
3,79809,0.7377989951008032,6.438990605333373,1.9954163390053943,0.030039537619028896,12.912591311756819,0.7391053397863456,6.360771012303483,0.001306344685542471,-0.0782195930298899
4,80048,0.7396936837897262,6.424773281594584,2.0013503474192462,0.029800292638205828,12.814248950629619,0.7411865506344428,6.3562968450714346,0.0014928668447166116,-0.06847643652314961
5,80230,0.7399476505047987,6.345697975854197,2.00606561071978,0.030199443097119735,12.695126511280076,0.7419075555395106,6.293280332718565,0.001959905034711884,-0.05241764313563202
6,79743,0.7515142394943757,6.122720822983876,1.99384233826927,0.029804762018782686,12.177507743626402,0.749897486791817,6.1873132978842715,-0.001616752702558677,0.06459247490039566
7,79979,0.7564610710311457,6.134031446872684,1.9996923070412898,0.029623291060866634,12.292689330949376,0.7485186381829098,6.23126215987999,-0.007942432848235925,0.09723071300730624
8,80023,0.756832410681929,6.113270452716331,2.000729608592124,0.029607386829285362,12.164727640803267,0.7507398479907622,6.19864584429321,-0.0060925626911667585,0.08537539157687934
9,79922,0.7506318660694177,6.110216993261598,1.9982872034685764,0.03049100370546886,12.217374440079078,0.7473427470979204,6.168539518760656,-0.003289118971497307,0.05832252549905803
10,80229,0.7480836106644729,6.227663950067832,2.006039515552074,0.030197787640367648,12.463348664448018,0.7449678355467112,6.240035090107188,-0.003115775117761732,0.012371140039356021
11,80128,0.7280975439297125,6.503783867234574,2.0035369773594325,0.02989243518363501,13.048023162939296,0.7372854990291101,6.3953165398637735,0.009187955099397627,-0.10846732737080078
12,80084,0.7531466959692323,6.159543478037548,2.002321092428247,0.029723430600262134,12.318815243993804,0.7481384597026071,6.233214184309096,-0.005008236266625277,0.07367070627154781
13,80017,0.7631003411774998,5.949618188588651,2.000547471106356,0.02981490569224657,11.89047327442918,0.753320391828162,6.126233166540146,-0.009779949349337791,0.17661497795149472
14,80323,0.7438093696699576,6.326159162386006,2.0082904990812405,0.029684961415741746,12.692765459457448,0.743203815624621,6.321349258087942,-0.000605554045336576,-0.004809904298063827
15,80646,0.7422686804057238,6.342555085422835,2.0162016367300652,0.03005268619354674,12.78834660119534,0.7406428888838553,6.325522437234224,-0.0016257915218684804,-0.01703264818861072
16,79819,0.7475287838735138,6.2055856316655085,1.9955851761255674,0.02985118984814326,12.39048346884827,0.7468722403660443,6.233712417326242,-0.0006565435074695758,0.028126785660733233
17,79954,0.7530830227380744,6.052474355771918,1.998950947779815,0.030319090157980066,12.048828076143783,0.7500450909699077,6.136931888752252,-0.0030379317681666906,0.0844575329803341
18,80234,0.7439863399556298,6.253596380388941,2.006053987652719,0.030072682339841648,12.501159109604405,0.7444321511693885,6.261671924696222,0.0004458112137587511,0.008075544307280857
19,79458,0.7493644441088374,6.1641200592471,1.9865574522186829,0.030229365154925115,12.197538322132447,0.748274402930679,6.180155251342915,-0.001090041178158363,0.016035192095815276
20,79693,0.7413825555569498,6.313459325800584,1.9926837108273197,0.030160680560544453,12.615097938338373,0.7427093893937287,6.284989691146911,0.0013268338367788957,-0.028469634653673026
21,79594,0.752066738698897,6.115652990734373,1.990110935625873,0.030094339304390077,12.1178732065231,0.749981225164026,6.163582638208176,-0.002085513534870964,0.04792964747380335
22,80709,0.7488384195071182,6.187991868535529,2.017869410486336,0.03008850334625719,12.433941691756806,0.7454920780562123,6.240662276507944,-0.003346341450905843,0.05267040797241496
23,80003,0.7366098771296077,6.370182495633907,2.000169765650075,0.02980375845642728,12.732160043998348,0.7421142180870091,6.3223741280959675,0.005504340957401377,-0.04780836753793949
24,79438,0.7481809713235479,6.216201491535669,1.9860276131770296,0.029819607227670426,12.380334348800321,0.7466056466664537,6.23838473780623,-0.0015753246570942014,0.02218324627056134
25,80204,0.7305495985237644,6.446904582269971,2.005409165587272,0.030479577481987458,13.019537678918757,0.7361395428478736,6.3555710173800115,0.005589944324109197,-0.09133356488995936
26,80000,0.7368,6.396722020492984,2.0000636404543215,0.02991180473170757,12.811574999999994,0.740651574703352,6.343285220605392,0.0038515747033519565,-0.0534367998875922
27,79468,0.7492575627925706,6.222506761569418,1.9871119773582624,0.02986914801521426,12.415689334071574,0.7460162806554298,6.244402275228989,-0.0032412821371408107,0.021895513659570653
28,79588,0.7370583505051013,6.381814685776806,1.9897917974348447,0.030255010705538567,12.719455194250395,0.7410300856197506,6.306726514387351,0.003971735114649322,-0.07508817138945556
29,79983,0.7299301101484066,6.529155868119342,1.9996489506738169,0.029985362122438092,13.0556743307953,0.7371639556567868,6.398912221699109,0.007233845508380243,-0.130243646420233
